"","ID","HEI","Title-ES","Title-EN","Content-ES","Content-EN","Description-ES","Description-EN","Area","Modality","Target","Level","Workload","Language","Photo","Evaluation","Certification","Keywords","Contact"
"11",11,"Universidad Nacional Del Sur","Cromatografía de Gases","Gas Chromatography","La cromatografía de gases (GC) es una herramienta analítica ampliamente utilizada para la caracterización cualitativa y cuantitativa de diferentes muestras. Algunos ejemplos son el análisis de productos naturales, composición de alimentos, aditivos alimentarios, componentes de sabor y aroma, gas natural, una gran variedad de productos de transformación, materiales de envasado y contaminantes. El curso cubre aspectos básicos y prácticos del manejo de la GC.","Gas chromatography (GC) is a widely used analytical tool for qualitative and quantitative characterization of different samples. Examples of typical applications involving GC technique are analysis of natural products, food composition, food additives, flavor and aroma components, natural gas, a variety of transformation products, packaging materials and contaminants (such as environmental pollutants, fumigants pesticides and natural toxins). The course covers basic and practical aspects of handling GC.","El curso se dicta mediante clases presenciales o virtuales. Se
fomenta la participación activa mediante discusiones guiadas,
preguntas e intercambios interactivos. Se realiza una sesión práctica
que permite a los participantes aplicar los conceptos abordados
durante el curso y fortalecer sus habilidades técnicas a través de la
experiencia.","The course is delivered through structured lectures that may be
conducted either in person or virtually. Sessions include
comprehensive presentations of the developed topics. Active
participant engagement is encouraged through guided discussions,
questions, and interactive exchanges to promote deeper
understanding. A practical session will be conducted, allowing
participants to apply the concepts covered during the course in a
hands-on context and to strengthen their technical skills through
direct experience.","Análisis Químico Instrumental","Virtual - Sincrónico, Virtual - Asincrónico, Presencial","Estudiantes de posgrado, Profesionales de la industria","Avanzado","-","Español","https://drive.google.com/file/d/1s8Kt9klf3bJ8iv2Nv1tCl45j-1gYt4f0/view?usp=drive_link","Los participantes serán evaluados mediante un examen final y/o un trabajo final integrador. / Participants will be evaluated through a final examination and/or a comprehensive integrative final project.","Aprobación, Participación/Asistencia","CROMATOGRAFÍA DE GASES, ANÁLISIS COMPOSICIONAL MANEJO DE GC / APPLIED GAS CHROMATOGRAPHY, GC TROUBLESHOOTING AND OPTIMIZATION, ANALYTICAL INSTRUMENTATION","ott@plapiqui.edu.ar"
"12",12,"Universidad Nacional Del Sur","Biopolímeros","Biopolymers","Los biopolímeros y los materiales biodegradables se proponen como materiales alternativos a los polímeros sintéticos. Están encontrando nuevas aplicaciones industriales y comerciales: envases, insumos médicos y autopartes, entre otras. En este contexto, resultan relevantes aspectos como los métodos de obtención, las tecnologías de procesamiento, los costos, la sostenibilidad ambiental, las características, las propiedades finales y el desarrollo de productos. Este curso ofrece una visión general del campo de los biopolímeros, desde su obtención hasta su caracterización, propiedades y aplicaciones.","Biopolymers and biodegradable materials are proposed as alternative materials to synthetic polymers. They are finding new industrial and commercial applications: packaging, medical supplies, and automotive parts, among others. Thus, some aspects including obtaining methods, processing technologies, costs, environmental sustainability, characteristics, final properties, and developing products are relevant. This course gives an overview of the biopolymer field from the obtaining to characterization, properties, and applications of these materials.","El curso se dicta mediante clases presenciales o virtuales. Se
fomenta la participación activa mediante discusiones guiadas,
preguntas e intercambios interactivos.","The course is delivered through structured lectures that may be
conducted either in person or virtually. Sessions include
comprehensive presentations of the developed topics. Active
participant engagement is encouraged through guided discussions,
questions, and interactive exchanges to promote deeper
understanding.","Plásticos y polímeros","Virtual - Sincrónico, Virtual - Asincrónico, Presencial","Estudiantes de posgrado, Profesionales de la industria","Intermedio","-","Español","https://drive.google.com/file/d/1GHlD0k7PKCx2Xvmpb2RW3mC2SoNXheLe/view?usp=drive_link","Los participantes serán evaluados mediante un examen final y/o un trabajo final integrador, diseñado para evaluar tanto la comprensión conceptual como la capacidad de aplicar los conocimientos adquiridos. / Participants will be evaluated through a final examination and/or a comprehensive integrative final project, designed to assess both conceptual understanding and the ability to apply acquired knowledge.","Aprobación, Participación/Asistencia","BIOPOLÍMEROS, PROCESAMIENTO Y CARACTERIZACIÓN APLICACIONES INDUSTRIALES / BIOPOLYMERS SCIENCE AND TECHNOLOGY, BIOPOLYMER PROCESSING AND CHARACTERIZATION, BIO-BASED POLYMER MATERIALS","ott@plapiqui.edu.ar"
"13",13,"Universidad Nacional De Córdoba","Diplomatura Universitaria en Economía Circular y Estrategias de Sustentabilidad","University Diploma in Circular Economy and Sustainability StrategiesEconomía circular y ODS; gestión de residuos; diseño de procesos circulares; estrategias de reinserción de materiales reciclados (incluidos plásticos).","Economía circular y ODS; gestión de residuos; diseño de procesos circulares; estrategias de reinserción de materiales reciclados (incluidos plásticos).","Circular economy and SDGs; waste management; circular process design; strategies for reintroducing recycled materials (including plastics).","Formación estructurada que combina teoría y práctica, con análisis de casos, visitas guiadas y proyectos aplicados a contextos reales de economía circular.","Structured training that combines theory and practice, with case studies, guided tours and projects applied to real-world circular economy contexts.","Plásticos y polímeros, Medioambiente, Gestión y seguridad, Economía Circular","Virtual - Sincrónico, Virtual - Asincrónico, Presencial","Operarios / técnicos, Estudiantes de grado, Estudiantes de posgrado, Profesionales de la industria, Público en general","Intermedio","120 horas","Español","https://drive.google.com/drive/folders/1y-JV-ptb4HZ3MLcePEzEcKS6xl2Sz26g?usp=sharing","Trabajo final aplicado.","Aprobación","Economía circular, reciclaje, gestión ambiental","Secretaría de Políticas de Sustentabilidad – UNC"
"14",14,"Universidad Nacional De Córdoba","Formación para Trabajadores/as de la Economía Circular.","Training for Workers in the Circular Economy","Economía circular; empleo verde; proceso productivo y cadena de valor; negociación y comercialización; planificación estratégica.","Circular economy; green jobs; production process and value chain; negotiation and marketing; strategic planning.","Curso gratuito presencial de 5 encuentros para promover herramientas organizativas y productivas aplicadas a reciclaje y reutilización.","Free face-to-face course of 5 sessions to promote organizational and productive tools applied to recycling and reuse.","Plásticos y polímeros, Medioambiente, Economía Circular","Presencial","Operarios / técnicos, Emprendedores, cooperativistas, MiPyMEs y recuperadores urbanos.","Introductorio / básico","15 horas","Español","https://drive.google.com/file/d/1Fg2j3LhJ1L3dOJPzhN9X9H8Fipp0XRIL/view?usp=sharing","Trabajo grupal y participación activa.","Aprobación","Economía circular, reciclaje, empleo verde.","Secretaría de Extensión Universitaria – UNC"
"15",15,"Universidad Nacional De Córdoba","Diplomatura Universitaria en Nuevas Economías","University Diploma in New Economies","Contexto actual y crisis socio-ecológica, Sistemas B y evaluación de impacto, Economía del Bien Común, Economía regenerativa, Economía circular y diseño de sistemas sostenibles, Economía social, solidaria y cooperativa, Saberes ancestrales y buen vivir, Economías locales y soberanía alimentaria, Banca ética y modelos alternativos de financiamiento.","Current context and socio-ecological crisis, B Systems and impact assessment, Economy for the Common Good, Regenerative economy, Circular economy and sustainable systems design, Social, solidarity and cooperative economy, Ancestral knowledge and good living, Local economies and food sovereignty, Ethical banking and alternative financing models.","Formación avanzada y crítica, articulada en 13 módulos semanales con una estructura mixta teórico-práctica: Presentación de contenido conceptual y casos inspiradores; Clase sincrónica (aprox. 3 h) para profundizar en el tema con el/la mismo/a referente; Encuentros de síntesis (“islas”) para reflexión colectiva y puesta en común del aprendizaje; Actividades autónomas con entregas evaluadas (4 trabajos) para asegurar aplicación del pensamiento crítico en contextos reales.
La experiencia está diseñada para generar una mirada propia sobre modelos económicos alternativos y su impacto social y ambiental, con énfasis en la práctica contextualizada.","Advanced and critical training, structured in 13 weekly modules with a blended theoretical-practical approach: Presentation of conceptual content and inspiring case studies; Synchronous class (approx. 3 hours) to delve deeper into the topic with the same instructor; Synthesis sessions (“islands”) for collective reflection and sharing of learning; Independent activities with graded assignments (4 projects) to ensure the application of critical thinking in real-world contexts.

The experience is designed to foster an individual perspective on alternative economic models and their social and environmental impact, with an emphasis on contextualized practice.","Plásticos y polímeros, Medioambiente, Innovación y tecnología, Sostenibilidad Ambiental, Economía Circular","Virtual - Sincrónico","Operarios / técnicos, Estudiantes de grado, Estudiantes de posgrado, educadores/as, consultores/as, agentes de cambio","Intermedio","120 horas","Español","https://drive.google.com/file/d/1ItG3FNQP-i9S-I0uvmMJdHOcjG3CZlNO/view?usp=sharing","Entregas de trabajos autonomos. Evaluación sumativa.","Aprobación","economía circular, economía regenerativa, transformación socio-económica","Facultad de Ciencias Económicas – UNC"
"16",16,"Universidad Nacional De Colombia","Diseño ambiental de procesos","Environmental process design","Evaluación de desempeño ambiental de procesos; mejoramiento ambiental de procesos (análisis por operaciones unitarias, análisis integrado de diagramas de proceso, evaluación ambiental de diagramas de proceso, contabilidad de costos ambientales de proceso).","Environmental performance assessment of processes; environmental process improvement (analysis by unit operations, integrated process flow diagram analysis, environmental assessment of process diagrams, environmental process cost accounting).","Presentaciones magistrales, talleres prácticos de los temas cubiertos, tareas y ejercicios de afianzamiento, talleres de simulación de procesos y talleres de análisis de ciclo de vida en software libre.","Lectures, practical workshops on the covered topics, assignments and reinforcement exercises, process simulation workshops, and life-cycle analysis workshops using open-source software.","Plásticos y polímeros, Medioambiente, Procesos químicos","Presencial","Estudiantes de grado, Estudiantes de posgrado","Intermedio","64 horas de dictado - 128 horas de carga horaria","Español","https://drive.google.com/file/d/1yO_pUKYdPNvahNYPkVw1M4-IlnGgbaOy/view?usp=sharing","Mediante talleres y tareas","Aprobación","Diseño ambiental, evaluación ambiental, análisis de ciclo de vida. Environmental design, environmental assessment, life-cycle analysis.","Área Curricular de Ingeniería Química y Ambiental - Universidad Nacional de Colombia - Sede Bogotá dirareaciqa_fibog@unal.edu.co (+57) (601) 3165000 Ext. 14304 Dirección: Bogotá, Av. Cra 30 N. 45 -03, Edificio 412 oficina 212"
"17",17,"Universidad Nacional De Colombia","Análisis de ciclo de vida (ACV)","Life Cycle Assessment (LCA)","Introducción al ACV; definición de objetivo y alcance en los ACV; inventario de ciclo de vida; evaluación de impactos de ciclo de vida; software para ACV y manejo de datos; limitaciones del ACV.","Introduction to LCA; goal and scope definition in LCA; life cycle inventory; life cycle impact assessment; LCA software and data management; limitations of LCA.","El curso se desarrolla mediante clases magistrales con presentaciones interactivas y ejemplos prácticos; talleres guiados con ejercicios aplicados en cada etapa del ACV; uso de estudios de caso para contextualizar aplicaciones en Colombia; trabajo en equipo para el desarrollo del proyecto semestral; supervisión periódica para orientar a los estudiantes; integración de herramientas digitales y software como openLCA.","The course is conducted through lectures with interactive presentations and practical examples; guided workshops with applied exercises for each LCA stage; case studies to contextualize applications in Colombia; teamwork for developing the semester project; periodic project supervision; integration of digital tools and software such as openLCA.","Plásticos y polímeros, Medioambiente, ACV","Presencial","Estudiantes de posgrado","Introductorio / básico","64 horas de dictado - 128 horas de carga horaria","Español","https://drive.google.com/file/d/17XWKXecI5xUIxABKS0zXll8t0GPTPw9-/view?usp=drive_link","Mediante un proyecto, talleres y un examen final","Aprobación","análisis de ciclo de vida, evaluación ambiental, huella ambiental. Life cycle assessment, environmental assessment, environmental footprint","Área Curricular de Ingeniería Química y Ambiental - Universidad Nacional de Colombia - Sede Bogotá dirareaciqa_fibog@unal.edu.co (+57) (601) 3165000 Ext. 14304 Dirección: Bogotá, Av. Cra 30 N. 45 -03, Edificio 412 oficina 212"
"18",18,"Universidad Nacional De Colombia","Transformación de polímeros","Polymer processing","Introducción a los procesos de transformación; balance macroscópico y ecuación de continuidad; esfuerzo y deformación; proceso de extrusión; moldeo por inyección; otras operaciones (termoformado, calandrado, moldeo rotacional).","Introduction to polymer processing; macroscopic balance and continuity equation; stress and strain; extrusion process; injection molding; other operations (thermoforming, calendering, rotational molding).","El curso se lleva a cabo mediante presentaciones magistrales por parte del docente; resolución de problemas enfocados en el modelamiento; preparación independiente de algunos temas por parte del estudiante; prácticas de laboratorio para consolidar los conocimientos; y visitas industriales para reforzar la comprensión de los procesos reales.","The course is delivered through lectures by the instructor; problem-solving sessions focused on modeling; independent preparation of selected topics by students; laboratory practices to consolidate knowledge; and industrial visits to strengthen understanding of real processing operations.","Plásticos y polímeros","Presencial","Estudiantes de grado, Estudiantes de posgrado","Introductorio / básico","64 horas de dictado - 128 horas de carga horaria","Español","https://drive.google.com/file/d/1Ax7Mrn7lqhnOBJG2R6kc7GckZcV20gwa/view?usp=drive_link","Mediante talleres y evaluaciones","Aprobación","procesamiento de polímeros, extrusión, moldeo por inyección / polymer processing, extrusion, injection molding","Área Curricular de Ingeniería Química y Ambiental - Universidad Nacional de Colombia - Sede Bogotá dirareaciqa_fibog@unal.edu.co (+57) (601) 3165000 Ext. 14304 Dirección: Bogotá, Av. Cra 30 N. 45 -03, Edificio 412 oficina 212"
"19",19,"Universidad Nacional De Colombia","Procesos de polimerización","Polymerization processes","El curso incluye los siguientes temas: introducción y generalidades; procesos de copolimerización; polimerización en sistemas homogéneos; polimerización en suspensión; polimerización en emulsión.","The course covers the following topics: introduction and general concepts; copolymerization processes; polymerization in homogeneous systems; suspension polymerization; emulsion polymerization.","Además de planear y ejecutar prácticas de laboratorio orientadas a la obtención de materiales poliméricos de interés, los temas del curso se desarrollan mediante presentaciones del profesor, exposiciones realizadas por grupos de estudiantes, seminarios y talleres. La parte práctica se lleva a cabo de manera dirigida, con el fin de aplicar los conceptos estudiados en la parte teórica.","In addition to planning and conducting laboratory practices aimed at producing relevant polymeric materials, the course topics are developed through instructor lectures, student group presentations, seminars, and workshops. Practical sessions are guided to ensure effective application of the theoretical concepts studied.","Plásticos y polímeros, Procesos químicos","Presencial","Estudiantes de posgrado","Intermedio","64 horas de dictado - 128 horas de carga horaria","Español","https://drive.google.com/file/d/1Cj9079TS7pUWRb7Ev7ZvFQ2C744NEYDG/view?usp=drive_link","Mediante talleres y un examen","Aprobación","polimerización, copolimerización, síntesis de polímeros / polymerization, copolymerization, polymer synthesis","Área Curricular de Ingeniería Química y Ambiental - Universidad Nacional de Colombia - Sede Bogotá dirareaciqa_fibog@unal.edu.co (+57) (601) 3165000 Ext. 14304 Dirección: Bogotá, Av. Cra 30 N. 45 -03, Edificio 412 oficina 212"
"20",20,"Universidad Nacional De Colombia","Mercadotecnia, innovación y emprendimiento","Marketing, Innovation and Entrepreneurship","El curso integra fundamentos de mercadotecnia, emprendimiento e innovación, abarcando marketing mix, comportamiento del consumidor y responsabilidad social empresarial con énfasis en sostenibilidad y economía circular. También desarrolla herramientas para formular propuestas de valor, definir recursos, costos y canales de venta, y aplicar metodologías creativas para generar, evaluar y presentar ideas de negocio con enfoque sostenible.","The course integrates fundamentals of marketing, entrepreneurship, and innovation, covering the marketing mix, consumer behavior, and corporate social responsibility with an emphasis on sustainability and circular economy. It also develops tools to formulate value propositions, define resources, costs, and sales channels, and apply creative methodologies to generate, evaluate, and present sustainable business ideas.","Presentaciones magistrales, talleres prácticos de los temas cubiertos y presentaciones por parte de los estudiantes.","Lectures, hands-on workshops on the covered topics, and student presentations.","Innovación y tecnología","Presencial","Operarios / técnicos, Estudiantes de grado, Estudiantes de posgrado, Profesionales de la industria, Público general","Introductorio / básico","64 horas de dictado","Español/Inglés","https://drive.google.com/file/d/1KKc6OpaEjyf0vqTwbnBV3YrDT38PRNDx/view?usp=drive_link","Mediante presentaciones de los temas de cada módulo","Aprobación, Participación/Asistencia","mercadotecnia, innovación, emprendimiento / marketing, innovation, entrepreneurship","Unidad Camilo Torres - Universidad Nacional de Colombia - Sede Bogotá Calle 44 no. 45 – 67 bloque b6 último piso. Bogotá D.C. - Colombia(+57) 1-3165000 EXT 10724cinternac_fibog@unal.edu.co"
"21",21,"Universidad Central","Uso efectivo de equipos para operadores","Effective Use of Equipment for Operators","*Plan de mantenimiento a maquinaria *Revisión de los cuadros eléctricos y el sistema de refrigeración *Optimización de prácticas de control Incluyendo actividades en laboratorio a convenir","Preventive maintenance plan for machinery  Inspection of electrical panels and cooling systems  Optimization of control practices  Optional laboratory-based activities","Capacitación dirigida a usuarios, operadores, supervisores de planta en contacto con maquinaria para producción y reciclaje plástico (trituradora, caldera, inyectora, sopladoras, entre otras). Para el acompañamiento y formación en el uso de maquinaria, diseño de planes de mantenimiento preventivo considerando componentes eléctricos, mecánicos, electrónicos y de software. Esto prolonga la vida útil de los equipos, reduce fallos, evita demoras y disminuye costos por reparaciones o compra de repuestos. Ideal para pymes que buscan mejorar la eficiencia, sostenibilidad de sus procesos, optimizando el uso de maquinaria al maximizar su funcionamiento, reduciendo tiempos muertos. Consolidando un conocimiento estructurado y fortalecido en los operarios.","Training is provided for users, operators, and plant supervisors who work with machinery for plastics production and recycling (shredders, boilers, injection molding machines, blow molders, among others). The service includes technical support and training in machinery operation, as well as the design of preventive maintenance plans that consider electrical, mechanical, electronic, and software components.

This contributes to extending equipment lifespan, reducing failures, avoiding downtime, and lowering costs associated with repairs or spare parts. It is ideal for SMEs seeking to improve process efficiency and sustainability by optimizing machinery performance, reducing idle times, and strengthening operators’ technical knowledge through structured training.","Plásticos y polímeros, Energía, Innovación y tecnología, Gestión y seguridad","Virtual - Asincrónico, Presencial, A convenir","Operarios / técnicos, Estudiantes de grado, Estudiantes de posgrado, Profesionales de la industria","Intermedio","Horas de dictado 24 - Carga horaria estimada 30","Español","https://drive.google.com/drive/folders/1sbkfplFN41H7IIvxX5Pt9GLvRth9tW69?usp=drive_link",NA,"Aprobación, Participación/Asistencia","*Equipos *Producción *Optimización *Equipment  *Production  *Optimization","direccioninvestigacionytc@ucentral.edu.co"
"22",22,"Universidad Central","Diplomado Gestionando y Reciclando","Managing and Recycling","Consta de cuatro módulos: ambiental, administrativo, financiero y de desarrollo personal. Ofrece formación en gestión ambiental, logística, marketing digital, comunicación, comercialización, legislación, ciclo de vida del producto, contabilidad, financiación, liderazgo, emprendimiento y herramientas ofimáticas","The program consists of four modules environmental, administrative, financial, and personal development and provides training in environmental management, logistics, digital marketing, communication, commercialization, legislation, product life cycle, accounting, financing, leadership, entrepreneurship, and office software tools","El diplomado Gestionando y Reciclando fortalece el componente social y económico del reciclaje, promoviendo la visibilidad, inclusión y bienestar de la comunidad recicladora. Consta de cuatro módulos: ambiental, administrativo, financiero y de desarrollo personal. Ofrece formación en gestión ambiental, logística, marketing digital, comunicación, comercialización, legislación, ciclo de vida del producto, contabilidad, financiación, liderazgo, emprendimiento y herramientas ofimáticas, impulsando su rol clave en la economía circular.","The Managing and Recycling program strengthens the social and economic components of recycling by promoting the visibility, inclusion, and well-being of the recycler community. The program consists of four modules environmental, administrative, financial, and personal development and provides training in environmental management, logistics, digital marketing, communication, commercialization, legislation, product life cycle, accounting, financing, leadership, entrepreneurship, and office software tools. This supports and enhances their key role in the circular economy.","Plásticos y polímeros, Medioambiente, Innovación y tecnología, Gestión y seguridad","Virtual - Sincrónico, Presencial, A convenir","Operarios / técnicos, Profesionales de la industria","Introductorio / básico","50 horas en 13 sesiones","Español","https://drive.google.com/drive/folders/1YkTxxlNvOZ0B9qB1oI-KW7KQPaENo7vQ?usp=drive_link",NA,"Aprobación, Participación/Asistencia","*Gestión *Formación *Recicladores *Management *Training *Recyclers","direccioninvestigacionytc@ucentral.edu.co"
"23",23,"Universidad Central","Medición de sostenibilidad","Sustainability Measurement","*Medición de huellas de carbono, hídrica, ambiental *Índices de sostenibilidad, *Indicadores de ecoeficiencia, de producción limpia, análisis ambiental de proceso","Measurement of carbon, water, and environmental footprints  Sustainability indices  Eco-efficiency and cleaner production indicators  Environmental process analysis","El servicio de capacitación en medición de sostenibilidad fortalece las capacidades empresariales para evaluar el desempeño ambiental de procesos productivos. A través del uso de indicadores de ecoeficiencia y sostenibilidad, se abordan herramientas para cuantificar huellas de carbono, hídrica y ecológica, identificar factores críticos de impacto y promover la producción limpia. Esta formación apoya la toma de decisiones orientadas a la optimización ambiental y la mejora continua del desempeño sostenible en el sector plástico.","The sustainability measurement training service strengthens corporate capabilities to evaluate the environmental performance of production processes. Through the use of eco-efficiency and sustainability indicators, the program introduces tools to quantify carbon, water, and ecological footprints, identify critical impact factors, and promote cleaner production. This training supports decision-making aimed at environmental optimization and continuous improvement of sustainable performance in the plastics sector.","Plásticos y polímeros, Energía, Medioambiente, Innovación y tecnología","Virtual - Sincrónico, Presencial, A convenir","Operarios / técnicos, Estudiantes de grado, Estudiantes de posgrado, Profesionales de la industria","Introductorio / básico","24 Horas de dictado- Carga horaria estimada 32 horas","Español-Ingles","https://drive.google.com/drive/folders/1QRTh4PQKw_x2HuOymhZi9hVewwnjJ1r2?usp=sharing",NA,"Aprobación, Participación/Asistencia","*Indicadores *Huellas *Ecoeficiencia *Indicators  *Footprints  *Eco-efficiency","direccioninvestigacionytc@ucentral.edu.co"
"24",24,"Universidad Nacional De Río Negro","Plan de Educación y Concientización Ambiental","Environmental Education and Awareness Plan","El Plan cuenta con dos etapas: 1) capacitación teórico-práctica de educación ambiental, focalizado en fomentar el reciclaje de residuos como hábito saludable y estratégico para fomentar una correcta gestión de los mismos, como también fortalecer y potenciar una economía circular y sustentable. Los cursos están orientados a diferentes públicos y niveles de complejidad; 2) puesta en marcha de una prueba piloto dentro de la institución,  de separación de residuos húmedos y secos para su correcto reciclado.","The Plan has two stages: 1) theoretical and practical environmental education training, focused on promoting waste recycling as a healthy and strategic habit to encourage proper waste management, as well as strengthening and enhancing a circular and sustainable economy. The courses are geared towards different audiences and levels of complexity; 2) implementation of a pilot program within the institution for separating wet and dry waste for proper recycling.","El Plan de Educación y Concientización Ambiental tiene instancias teóricas y prácticas. La cantidad de encuentros varía según la necesidad de la organización requirente, al igual que el nivel de profundidad de sus contenidos. También, dependiendo la ciudad y la evolución del Sistema Local del Reciclado, se harán visitas en pos de ilustrar a los participantes sobre el circuito de los residuos reciclables.","The Environmental Education and Awareness Plan includes both theoretical and practical components. The number of sessions varies depending on the needs of the requesting organization, as does the level of detail covered. Additionally, depending on the city and the development of the local recycling system, visits will be organized to illustrate the recycling process to participants.
","Medioambiente","Presencial","organizaciones varias: Sector Público (ministerios, escuelas, Universidades, etc) Sector Privado (empresas, industria, negocios, etc)","Intermedio","Horas de Dictado: 10 horas reloj. Horas estimadas: 10 horas reloj (horas de estudio, actividades experimentales, visitas guiadas, resolución de cuestionarios, etc.)","Español","https://drive.google.com/drive/u/2/folders/1pvL-ttf1I6f_QveLdSUmmGCi8iXzxLn-","Los participantes habilitados a ser evaluados, serán aquellos que asistieron al 75\% o más de los encuentros obligatorios. La evaluación consiste en que cada miembro deberá exponer oralmente una propuesta de prueba piloto para su organización.","Aprobación","Plásticos - Impacto-  Circularidad / Plastics - Impact - Circularity","Julián Arribas jarribas@unrn.edu.ar; María Florencia Agosto, magosto@unrn.edu.ar"
"25",25,"Universidad Nacional De Río Negro","Impacto Ambiental de Plásticos","Environmental Impact of Plastics","Evaluación del destino y efectos de plásticos en ecosistemas acuáticos como indicador de fugas en la economía circular. Se aborda la interacción de microplásticos con matrices ambientales y su impacto ecotoxicológico en la biota (macroinvertebrados y peces). Análisis de riesgo ambiental para fundamentar estrategias de mitigación y rediseño de procesos productivos sostenibles.","Assessment of the fate and effects of plastics in aquatic ecosystems as an indicator of leakage in the circular economy. The interaction of microplastics with environmental matrices and their ecotoxicological impact on biota (macroinvertebrates and fish) are addressed. Environmental risk analysis is conducted to inform mitigation strategies and the redesign of sustainable production processes","El curso se desarrolla bajo una modalidad teórico-práctica 100\% virtual, permitiendo al participante avanzar a su propio ritmo a través de módulos que cubren desde la clasificación y propiedades fisicoquímicas de los polímeros hasta sus procesos de transformación y reciclaje. La dinámica integra videoclases explicativas, lectura de material técnico y análisis de casos reales sobre selección de materiales, complementado con foros de consulta docente y una evaluación final integradora que certifica la comprensión del ciclo de vida de los plásticos.","The course is delivered entirely online, combining theory and practice, allowing participants to progress at their own pace through modules that cover everything from the classification and physicochemical properties of polymers to their transformation and recycling processes. The course incorporates explanatory video lectures, technical readings, and real-world case studies on material selection, complemented by online forums for instructor questions and a final comprehensive assessment that certifies understanding of the plastics life cycle.
","Medioambiente","Virtual - Asincrónico","Profesionales de la industria","Intermedio","10 horas","español","https://drive.google.com/file/d/168CJAbVPkhUMbzMMNiE3uAd_7zd4rtbk/view?pli=1 https://drive.google.com/file/d/1kAlOS5C8dZMxchU27M1LHfGAC9sq3J5m/view?pli=1","La aprobación del curso requiere la elaboración de un trabajo de análisis material basado en un objeto plástico real seleccionado por la/el estudiante. Esta instancia evalúa la capacidad de transferir la teoría a la práctica mediante la caracterización física del polímero, la deducción de su proceso de manufactura a través de la inspección visual y el diseño de una estrategia de fin de vida (reciclaje o disposición en el ambiente) acorde a la infraestructura real de su localidad. La entrega se realiza en formato multimedia para evaluar la observación empírica y la integración de los contenidos /  Course approval requires the completion of a materials analysis project based on a real plastic object selected by the student. This project assesses the ability to transfer theory to practice through the physical characterization of the polymer, the deduction of its manufacturing process through visual inspection, and the design of an end-of-life strategy (recycling or environmental disposal) appropriate to the existing infrastructure in their local area. The project is submitted in multimedia format to evaluate empirical observation and the integration of course content","Aprobación, Participación/Asistencia","Plásticos - Impacto-  Circularidad / Plastics - Impact - Circularity","Pablo Macchi, pmacchi@unrn.edu.ar"
