"","ID","HEI","Title-ES","Title-EN","Subtitle-ES","Subtitle-EN","Description-ES","Description-EN","Aplications-ES","Aplications-EN","Photo","Keywords","Contact"
"18",18,"Universidad de Santiago de Chile","Evaluación de capacidad de innovación en empresas","Assessment of innovation capacity in companies","Evaluación de los facilitadores, las barreras y la preparación de la organización para una innovación sostenida","Evaluating organizational enablers, barriers and readiness for sustained innovation","El LEIND evalúa la capacidad de innovación de organizaciones mediante el análisis de procesos, cultura, estructura y recursos, identificando brechas, barreras y oportunidades de mejora. Esta capacidad permite diagnosticar el nivel de madurez innovadora y proponer lineamientos estratégicos para fortalecer la innovación en el mediano y largo plazo","LEIND assesses organizational innovation capacity by analyzing processes, culture, structure and resources, identifying gaps, barriers and improvement opportunities. This capability enables the diagnosis of innovation maturity levels and the formulation of strategic guidelines to strengthen innovation in the medium and long term","Diagnóstico de innovación organizacional; Apoyo a procesos de transformación empresarial; Diseño de estrategias de innovación; Evaluación de madurez innovadora","Organizational innovation diagnostics; Support for business transformation processes; Innovation strategy design; Innovation maturity assessment","https://drive.google.com/drive/folders/1-VB3ZvR-1H5EtrRNQfeVklJMKBhQmvkL?usp=drive_link","Capacidad de innovación, diagnóstico organizacional, estrategia, transformación empresarial / Innovation capacity, organizational diagnosis, strategy, business transformation","lorena.delgado@usach.cl"
"19",19,"Universidad de Santiago de Chile","Diagnóstico de capacidad de innovación empresarial","Innovation capability diagnosis for compaines","Evaluación estratégica del estado actual de la innovación organizacional","Strategic assessment of organizational innovation maturity","Servicio orientado a diagnosticar el nivel de capacidad de innovación de empresas y organizaciones, basado en la norma ISO 56002, identificando facilitadores, barreras, brechas y oportunidades de mejora. El resultado es un plan de acción estructurado para fortalecer la innovación de manera sistemática y sostenible","Service aimed at assessing the innovation capability of companies and organizations, identifying enablers, barriers, gaps and improvement opportunities. The outcome is a structured action plan to strengthen innovation in a systematic and sustainable way","Diagnóstico en grillas de madurez en innovación; Análisis organizacional y cultural; Entrevistas y talleres participativos; Herramientas de evaluación estratégica basado en métodos multicriterio","Innovation maturity assessment; Organizational and cultural analysis; Interviews and participatory workshops; Strategic assessment tools","https://drive.google.com/drive/folders/1QWK8IvXkzAOOmVJtbNrhAA8XbdDVzsmz?usp=drive_link","Empresas públicas y privadas; Procesos de transformación organizacional; Diseño de estrategias de innovación / Public and private companies; Organizational transformation processes; Innovation strategy design","lorena.delgado@usach.cl"
"20",20,"Universidad de Santiago de Chile","Capacidades en Diseño y Prototipado a partir del Reciclaje Mecánico de Plásticos","Capabilities in Design and Prototyping from Mechanical Recycling of Plastics","Desarrollo interdisciplinario de materiales sostenibles y prototipos arquitectónicos mediante el procesamiento mecánico de polímeros reciclados.","Interdisciplinary development of sustainable materials and architectural prototypes through the mechanical processing of recycled polymers.","Esta capacidad se enfoca en el desarrollo de materiales y prototipos mediante el reciclaje mecánico de plásticos, abarcando desde las etapas conceptuales hasta las prácticas. Su implementación se basa en un enfoque interdisciplinario que integra diseño, ingeniería y sostenibilidad, junto con el uso de equipamiento especializado para el procesamiento de polímeros. El objetivo es crear materiales sostenibles orientados a aplicaciones en el ámbito arquitectónico","This capability focuses on the development of materials and prototypes through the mechanical recycling of plastics, covering both conceptual and practical stages. It is grounded in an interdisciplinary approach that integrates design, engineering, and sustainability, supported by specialized equipment for polymer processing. The goal is to create sustainable materials intended for architectural applications.","Se aplica en la experimentación y validación tanto de los prototipos como de los procesos de reciclaje mecánico de plásticos a escala de laboratorio, con el propósito de evaluar su viabilidad técnica y su potencial de escalabilidad hacia la producción industrial.","It is applied in the experimentation and validation of both prototypes and plastic mechanical recycling processes at a laboratory scale, aiming to assess their technical feasibility and potential scalability toward industrial production.","https://drive.google.com/drive/folders/1HOwg0L6EeIjVDOnfuP-c93lVG2yT4tpGzRd8r_u6zr-8w_KmNiZvi3vnAPfQ40EnsonbMEi1?usp=sharing","1. Reciclaje  2. Prototipado  3.Sostenibilidad / 1.Recycling 	2.Prototyping 	3.Sustainability","lemaa@usach.cl"
"21",21,"Universidad de Santiago de Chile","Capacitación Inmersiva en Economía Circular del Plástico mediante Realidad Virtual","Immersive Training in Circular Economy for Plastics through Virtual Reality","Aprendizaje experiencial sobre reciclaje y sostenibilidad a través de entornos virtuales interactivos","Experiential learning on recycling and sustainability through interactive virtual environments","Esta capacidad permite la formación en economía circular aplicada al plástico utilizando tecnologías de realidad virtual (VR). A través de una simulación inmersiva, los usuarios pueden vivir la experiencia de procesos reales como el reciclaje de botellas PET, la clasificación de materiales, o la transformación del plástico recuperado en nuevos productos.
El entorno virtual permite comprender de forma práctica los principios de reducción, reutilización y reciclaje, promoviendo la conciencia ambiental y el aprendizaje activo sin generar residuos ni interrumpir procesos productivos reales.","This capability enables training in circular economy applied to plastics using virtual reality (VR) technologies. Through an immersive simulation, participants can experience real-life processes such as PET bottle recycling, material sorting, and the transformation of recovered plastics into new products.
The virtual environment allows users to practically understand the principles of reduction, reuse, and recycling, fostering environmental awareness and active learning without generating waste or interrupting real production processes.","Capacitación industrial: Formación de operarios, técnicos y profesionales en procesos de reciclaje y gestión sostenible de plásticos.

Educación ambiental: Programas educativos en escuelas, universidades y centros de formación técnica.

Sensibilización corporativa: Entrenamientos para empresas comprometidas con la sostenibilidad y la economía circular.

Investigación y desarrollo: Evaluación de procesos y diseño de estrategias innovadoras de economía circular en entornos simulados.

Difusión y divulgación científica: Presentaciones interactivas en ferias, museos y eventos tecnológicos sobre el ciclo de vida del plástico.","Industrial training: Education of operators, technicians, and professionals in plastic recycling and sustainable management processes.

Environmental education: Educational programs in schools, universities, and technical training centers.

Corporate awareness: Training sessions for companies committed to sustainability and circular economy principles.

Research and development: Evaluation of processes and design of innovative circular economy strategies in simulated environments.

Outreach and science communication: Interactive presentations at fairs, museums, and technology events showcasing the plastic life cycle.","https://drive.google.com/drive/folders/1RCljIY6dzG37MNkJwL0bUmGPfYRxYV1o?usp=sharing","1. Virtual 2. Circular 3. Reciclaje / 1.Virtual 2. Circular 3. Recycling","lorena.delgado@usach.cl"
"22",22,"Universidad de Santiago de Chile","Indicador Integral de Innovación Sostenible Empresarial","Sustainable Innovation Indicator for Companies","Mide, evalúa y potencia la capacidad innovadora y sostenible de tu organización.","Measure, evaluate, and strengthen your company’s innovative and sustainable capabilities.","El Indicador Integral de Innovación Sostenible Empresarial permite diagnosticar el nivel de innovación de una empresa a través de cuatro pilares fundamentales: Organización, Procesos de Innovación, Equipo y Factores Externos.
Cada pilar integra múltiples variables que son evaluadas según su grado de desarrollo innovador, entregando un informe diagnóstico con oportunidades de mejora y asesorías personalizadas para fortalecer la gestión sostenible de la innovación.","The Sustainable Innovation Indicator for Companies assesses an organization’s innovation level through four key pillars: Organization, Innovation Processes, Team, and External Factors.
Each pillar includes specific dimensions evaluated according to their degree of innovation maturity, resulting in a comprehensive diagnostic report that identifies improvement opportunities and provides tailored advisory services to enhance sustainable innovation management.","Evaluación del nivel de madurez innovadora de una empresa.
	- Identificación de brechas y oportunidades de mejora en gestión de innovación.
	- Diseño de planes estratégicos para impulsar innovación sostenible.
	- Certificación o seguimiento de avances en políticas de innovación empresarial.","- Evaluation of a company’s innovation maturity level.
	- Identification of gaps and improvement opportunities in innovation management.
	- Design of strategic plans to foster sustainable innovation.
	- Monitoring or certification of progress in innovation policies and practices.","https://drive.google.com/drive/folders/1IF4AKOD39jnQVnK_XxuCPyCApJhtDopl","1. Innovación 2. Sostenibilidad  3. Diagnóstico / 1. Innovation 2. Sustainability 3. Diagnosis","lorena.delgado@usach.cl"
"23",23,"Universidad de Santiago de Chile","Diseño y Desarrollo de Productos Arquitectónicos con Plástico Reciclado","Design and Development of Architectural Products Using Recycled Plastic","Soluciones integrales desde el diseño al prototipado y producción","Comprehensive solutions from design to prototyping and production","El Laboratorio de Exploración en Materiales Arquitectónicos Ambientales (LEMAA) desarrolla soluciones integrales para el diseño y desarrollo de productos destinados a la arquitectura y la construcción, con un fuerte enfoque en el uso de materiales plásticos reciclados. A través de la ejecución de proyectos aplicados, como palmetas de revestimiento y resonadores acústicos para espacios de trabajo, LEMAA aborda de manera articulada las etapas de diseño, selección y formulación de materiales, prototipado y producción, generando productos innovadores, funcionales y alineados con principios de sostenibilidad y economía circular.","The Laboratory for Exploration in Environmental Architectural Materials (LEMAA) develops comprehensive solutions for the design and development of products for architecture and construction, with a strong focus on the use of recycled plastic materials. Through the execution of applied projects, such as cladding tiles and acoustic resonators for workspaces, LEMAA takes a coordinated approach to the stages of design, material selection and formulation, prototyping, and production, generating innovative, functional products that are aligned with the principles of sustainability and the circular economy.","Diseño y desarrollo de productos arquitectónicos; Prototipado funcional; Desarrollo de soluciones constructivas sostenibles","Design and development of architectural products; Functional prototyping; Development of sustainable construction solutions","https://drive.google.com/file/d/1KgPiCvRJ114-McXXG_ldgMWaTPCQcD4E/view?usp=drive_link","Diseño de productos; Plástico reciclado; Arquitectura sustentable; Prototipado","lemaa@usach.cl"
"24",24,"Universidad de Santiago de Chile","Caracterización de Plásticos para Arquitectura y Construcción","Characterization of Plastics for Architecture and Construction","Análisis y caracterización de materiales en función de propiedades mecánicas, químicas y térmicas","Analysis and characterization of materials based on mechanical, chemical, and thermal properties","El Laboratorio de Exploración en Materiales Arquitectónicos Ambientales (LEMAA), ha desarrollado una gran experiencia relacionada con la evaluación y análisis de las propiedades mecánicas, químicas y térmicas del plástico. Gracias a la ejecución de proyectos destinados al desarrollo de productos con plástico reciclado, tales como palmetas de revestimiento y resonadores acústicos para espacios de trabajo, el laboratorio LEMAA entrega una caracterización precisa indicando el potencial de utilización para el desarrollo productos para la arquitectura y construcción","The Laboratory for Research into Environmental Architectural Materials (LEMAA) has developed extensive experience in the evaluation and analysis of the mechanical, chemical, and thermal properties of plastic. Thanks to the implementation of projects aimed at developing products made from recycled plastic, such as cladding panels and acoustic resonators for workspaces, the LEMAA laboratory provides accurate characterization indicating the potential for use in the development of products for architecture and construction.","Desarrollo y validación de productos arquitectónicos; Selección de materiales; Apoyo técnico a proyectos de innovación y economía circular; Evaluación de desempeño de materiales","Development and validation of architectural products; Selection of materials; Technical support for innovation and circular economy projects; Evaluation of material performance","https://drive.google.com/file/d/18xzOJnmHcwLR0Zzn9-nP0PhK5tYJTdTl/view?usp=drive_link","Characterization of materials; Recycled plastic; Mechanical properties; Chemical properties; Thermal properties","lemaa@usach.cl"
"25",25,"Universidad de Santiago de Chile","Evaluación de Impacto Ambiental","Environmental Impact Assessment","Evaluación de los riesgos medioambientales, el desempeño en materia de sostenibilidad y las estrategias de mitigación.","Evaluating environmental risks, sustainability performance and mitigation strategies","El PDSPS desarrolla evaluaciones de impacto ambiental orientadas al análisis de sistemas productivos, procesos industriales y cadenas de valor, considerando impactos ambientales directos e indirectos. La capacidad integra criterios de sostenibilidad, eficiencia en el uso de recursos y mitigación de externalidades negativas, apoyando la toma de decisiones estratégicas en contextos productivos complejos","The PDSPS conducts environmental impact assessments focused on production systems, industrial processes and value chains, considering both direct and indirect environmental impacts. This capability integrates sustainability criteria, resource efficiency and mitigation of negative externalities, supporting strategic decision-making in complex productive contexts","Evaluación ambiental de procesos productivos; Análisis de sostenibilidad en proyectos industriales; Apoyo a estrategias de mitigación ambiental; Diagnóstico ambiental para toma de decisiones
","Environmental assessment of production processes; Sustainability analysis of industrial projects; Support for environmental mitigation strategies; Environmental diagnostics for decision-making
","https://drive.google.com/drive/folders/1ryWj20ki8Ik7pVTLCOgYe9M-9OCZbs8b?usp=sharing","Impacto ambiental, sostenibilidad, sistemas productivos, mitigación, evaluación ambiental / Environmental impact, sustainability, production systems, mitigation, environmental assessment","pdsps@usach.cl"
"26",26,"Universidad de Santiago de Chile","Simulación matemática de sistemas productivos","Mathematical simulation of production systems","Modelización de sistemas complejos para predecir comportamientos y optimizar la toma de decisiones","Modeling complex systems to predict behavior and optimize decision-making","El PDSPS cuenta con capacidades de simulación matemática orientadas al análisis y modelación de sistemas productivos complejos. Mediante modelos matemáticos y computacionales, se estudia el comportamiento de procesos, flujos y recursos, permitiendo evaluar escenarios, identificar cuellos de botella y apoyar la optimización de decisiones en contextos de sostenibilidad","The PDSPS offers mathematical simulation capabilities focused on the analysis and modeling of complex production systems. Through mathematical and computational models, process behavior, flows and resources are studied, enabling scenario evaluation, bottleneck identification and decision optimization under sustainability constraints","Simulación de procesos productivos; Evaluación de escenarios de operación; Optimización de sistemas industriales; Apoyo a decisiones estratégicas
","Production process simulation; Operational scenario analysis; Industrial systems optimization; Strategic decision support","https://drive.google.com/drive/folders/1ryWj20ki8Ik7pVTLCOgYe9M-9OCZbs8b?usp=sharing","Simulación matemática, modelación, sistemas complejos, optimización, sostenibilidad / Mathematical simulation, modeling, complex systems, optimization, sustainability","pdsps@usach.cl"
"27",27,"Universidad de Santiago de Chile","Resolución de problemas de logística circular","Solving circular logistics problems","Estrategias para optimizar los ciclos de recursos, los flujos inversos y la recuperación sostenible de valor","Strategies to optimize resource loops, reverse flows and sustainable value recovery","El PDSPS aborda problemas de logística circular mediante el análisis y diseño de sistemas que optimizan el uso de recursos, los flujos inversos y la recuperación de valor en cadenas productivas. Esta capacidad integra principios de economía circular, sostenibilidad y eficiencia logística para mejorar el desempeño ambiental y económico de los sistemas productivos","The PDSPS addresses circular logistics problems through the analysis and design of systems that optimize resource use, reverse flows and value recovery in production chains. This capability integrates circular economy principles, sustainability and logistics efficiency to improve environmental and economic performance","Diseño de sistemas de logística inversa; Optimización de cadenas de suministro circulares; Recuperación y reutilización de recursos; Análisis de flujos de materiales
","Reverse logistics system design; Circular supply chain optimization; Resource recovery and reuse; Material flow analysis
","https://drive.google.com/drive/folders/1ryWj20ki8Ik7pVTLCOgYe9M-9OCZbs8b?usp=sharing","Logística circular, economía circular, sostenibilidad, cadenas de suministro, recuperación de valor / Circular logistics, circular economy, sustainability, supply chains, value recovery","pdsps@usach.cl"
"28",28,"Universidad Nacional Del Sur","Procesamiento de polímeros","Polymer Processing","Experiencia en operaciones de procesamiento de compuestos/nanocompuestos termoplásticos","Thermoplastic composites/nanocomposites processing operations experience","PLAPIQUI posee una amplia experiencia en operaciones de procesamiento de polímeros vírgenes y reciclados. Sus capacidades abarcan mezclado en estado fundido, compounding, extrusión con extrusoras mono y doble tornillo, moldeo por inyección, calandrado, extrusión de film soplado y termocompresión. Estas técnicas de procesamiento se aplican de manera rutinaria para el desarrollo de nuevos materiales poliméricos, la optimización de procesos industriales y el diseño de formulaciones innovadoras que emplean una amplia variedad de matrices y cargas, tales como fibras cortas, partículas minerales y nanorrellenos. Además, PLAPIQUI cuenta con una sólida trayectoria en el procesamiento de polímeros reciclados post-consumo y post-industriales, incluyendo rutas de reciclado mecánico. Esto implica re-compounding, re-extrusión e incorporación de aditivos para mejorar el desempeño mecánico y térmico de las resinas recicladas. Estas actividades permiten la producción de productos reciclados de alta calidad y promueven soluciones de materiales sostenibles, alineadas con los principios de la economía circular.","PLAPIQUI has extensive expertise in both virgin and recycled polymer processing operations. Its capabilities cover melt blending, compoun ding, extrusion with single and twin-screw extruders, injection molding, calendaring, blown film extrusion, and thermocompression. These processing techniques are routinely applied for the development of new polymeric materials, the optimization of industrial processes, and the design of innovative formulations using a wide range of matrices and fillers, such as short fibers, mineral particles, and nanofillers. In addition, PLAPIQUI has a strong background in the processing of post-consumer and post-industrial recycled polymers, including mechanical recycling routes. This involves re-compounding, re-extru sion, and additive incorporation to improve the mechanical and thermal performance of recycled resins. Such activities enable the production of high-quality recycled-based products and promote sustainable material solutions aligned with circular economy principles.","Polímeros vírgenes
Plásticos reciclados
Compuestos/nanocompuestos
Compuestos de un solo polímero","Virgin polymers
Recycled plastics
Composite/nanocomposites
Single polymer composites","https://drive.google.com/drive/folders/1AzfIvclsNqlTNjOiylSlbL0Mx8QZiDzg?usp=drive_link","PROCESAMIENTO DE POLÍMEROS, PLÁSTICOS RECICLADOS; PROCESSING  POLYMER;  RECYCLED PLASTICS","ott@plapiqui.edu.ar"
"29",29,"Universidad Nacional Del Sur","Evaluación de Envases Terminados","Evaluation of Finished Packaging","ANÁLISIS DE FALLAS, EVALUACIÓN DE MIGRACIONES Y ENSAYOS DE CONFORMIDAD DE ENVASES","FAILURE ANALYSIS OF FOOD AND PHARMACEUTICAL PACKAGING, MIGRATION AND COMPLIANCE TESTS","Análisis integral de envases terminados:
Perfiles de volátiles en envases de atmósfera modificada (MAP)
Análisis de fallas y contaminaciones
Problemas de delaminación y rotura
Problemas de adhesión
Problemas de fallas mecánicas en envases, embalajes y tapas
Migración global y específica de aditivos y otros elementos, desde
envases y consumibles a alimentos y medicamentos
Cumplimiento de la normativa europea y GMC Mercosur
Modelos de migración
Evaluación de la biodegradabilidad en compostaje de materiales de
envase","Integral analysis of finished packaging:
Volatiles profiles in modified atmosphere packaging (MAP)
Failure and contamination analysis
Problems of delamination and breakage
Adhesion problems
Mechanical failure problems in packaging and lids
Global and specific migration of additives and elements from
containers and consumables to foods and drugs
Compliance of European and GMC Mercosur regulations
Migration models
Assessment of biodegradability and composting of packaging
materials","Evaluación de envases terminados
Ensayos de envases para alimentos
Ensayos de envases farmacéuticos
Análisis de fallas en envases
Evaluación de delaminación
Diagnóstico de fallas de adhesión
Ensayos de desempeño mecánico
Análisis de compuestos volátiles
Ensayos de migración global y específica
Evaluación del cumplimiento normativo
Ensayos de cumplimiento para la UE y Mercosur
Modelado de migración
Evaluación de compostabilidad
Evaluación de envases biodegradables
Análisis de contaminación","Finished packaging evaluation
Food packaging testing
Pharmaceutical packaging testing
Failure analysis in packaging
Delamination assessment
Adhesion failure diagnosis
Mechanical performance testing
Volatile profile analysis (MAP)
Global and specific migration testing
Regulatory compliance assessment
EU and Mercosur compliance testing
Migration modeling
Compostability evaluation
Biodegradable packaging assessment
Contamination analysis","https://drive.google.com/file/d/1305UgD-TrICtstoNoNMATh5rZ1ydg73j/view?usp=drive_link","ENSAYOS DE CONFORMIDAD, ANÁLISIS DE MIGRACIÓN, ANÁLISIS DE FALLAS / PACKAGING COMPLIANCE TESTING, MIGRATION ANALYSIS, FAILURE ANALYSIS","ott@plapiqui.edu.ar"
"30",30,"Universidad Nacional Del Sur","Tratamiento de Aguas Residuales","Wastewater Treatment","TRATAMIENTO DE AGUAS CONTAMINADAS CON DERIVADOS DE ANILINA Y FENOL","TREATMENT OF PHENOLIC AND ANILINE-RELATED COMPOUNDS FROM WASTEWATERS","PLAPIQUI tiene experiencia en el tratamiento de aguas residuales
contaminadas con compuestos derivados de anilina y fenol,
utilizando un proceso de oxidación avanzada (AOP) sin equipo
complejo o costoso. El proceso utiliza materiales baratos como
catalizadores y tiene alta actividad y selectividad. Es un proceso de
remediación de múltiples etapas que utiliza reacciones de adsorción
y oxidación.
Otras características son:
Diseño de catalizador ad hoc
Utilización de nuevos materiales como nanozimas como
catalizadores
Utilización de nuevos materiales magnéticos como soportes de
catalizadores
Enfoque en aguas residuales de industrias textiles, papeleras y de
polímeros
Aplicación a degradación y oxidación de lignina","Researchers at PLAPIQUI have experience in the treatment of
phenolic and aniline related compounds from wastewater, using an
Advanced oxidation Process (AOP) without complex or expensive
equipment. The process uses inexpensive materials as catalysts and
has high activity and selectivity. It is a Multistep Remediation
Process using adsorption and oxidation reactions. Other
characteristics are:
Ad-hoc catalyst design
Use new materials like nanozymes as catalysts
Use new magnetic materials as supports of magnetic catalysts
Focus in wastewaters from textile, paper and polymer industries
Also applicable to lignin degradation and oxidation","Tratamiento de aguas residuales industriales
Remoción de anilina y fenol
Procesos de oxidación avanzada (AOP)
Tratamiento de efluentes textiles
Tratamiento de efluentes de la industria de pulpa y papel
Remediación de efluentes de la industria de polímeros
Degradación de lignina
Sistemas de oxidación catalítica
Tratamientos combinados de adsorción–oxidación
Recuperación de catalizadores magnéticos
Tecnologías de remediación de bajo costo
Degradación selectiva de contaminantes
Tratamiento de agua en múltiples etapas","Industrial wastewater treatment
Aniline and phenol removal
Advanced oxidation processes (AOP)
Textile effluent treatment
Pulp and paper wastewater treatment
Polymer industry effluent remediation
Lignin degradation
Catalytic oxidation systems
Adsorption–oxidation treatment
Magnetic catalyst recovery
Low-cost remediation technologies
Selective contaminant degradation
Multi-stage water treatment","https://drive.google.com/file/d/1NL5aSnrVzRw3C7k5RP33HUH8utdsXAvo/view?usp=drive_link","PROCESOS DE OXIDACIÓN AVANZADA, TRATAMIENTO DE AGUAS RESIDUALES, REMEDIACIÓN CATALÍTICA / ADVANCED OXIDATION PROCESSES, INDUSTRIAL WASTEWATER TREATMENT, CATALYTIC REMEDIATION","ott@plapiqui.edu.ar"
"31",31,"Universidad Nacional Del Sur","Eficiencia Energética","Energy Efficiency","SERVICIOS DE ASESORÍA PARA LA REDUCCIÓN DEL CONSUMO DE ENERGÍA EN TODAS SUS FORMAS","REDUCTION OF ENERGY CONSUMPTION","En PLAPIQUI ofrecemos soluciones integrales y “a medida” para
cada cliente, con un acompañamiento permanente, buscando
mejorar de manera continua el desempeño energético de sus
procesos e instalaciones.
Nuestros servicios comprenden las siguientes etapas:
Relevamiento de Datos
Diagnóstico Energético
Propuestas de Mejora
Plan de Seguimiento y Mejora Continua
Dentro de las actividades realizadas por PLAPIQUI en materia
energética se destacan:
Recopilación y análisis de información relevante.
Relevamiento en campo. Entrevistas.
Evaluación del Desempeño Energético.
Detección de puntos de mejora. Evaluación de alternativas.
Ingeniería Conceptual, Básica y Básica Extendida.
Factibilidad técnico-económica de alternativas.
Optimización Energética de Procesos.
Análisis de incorporación y transición hacia Energías Renovables.
Supervisión, seguimiento y monitoreo.
Plan de mejora continua.
Contamos con la figura del Gestor Energético, quien acompañará y
asesorará de manera particular a los responsables del manejo de la
energía dentro de la organización en cada una de las etapas.","In PLAPIQUI we offer integral and customizable solutions for each
client, with permanent support, seeking for continuous improvement
of the energy performance of their processes and installations.
Our services include the following steps:
Data survey
Energy diagnosis
Identification of improvement proposals
Monitoring plan and continuous improvement
Among the activities carried out by PLAPIQUI on energy field, the
following stand out:
Collection and analysis of relevant information.
Field survey. Interviews.
Energy Performance Assessment.
Detection of points of improvement. Evaluation of alternatives.
Conceptual, Basic and Extended Basic Engineering.
Technical-economic feasibility studies of alternatives.
Processes Energy Optimization.
Analysis of incorporation and transition towards Renewable
Energies.
Supervision and monitoring.
Continuous improvement plan.
We offer an Energy Manager, who will accompany and advise in a
personalized way those responsible for the management of energy
within the organization in each of the stages.","Evaluación de la eficiencia energética
Optimización energética de procesos
Gestión energética industrial
Estrategias de transición energética
Programas de mejora continua
Optimización de sistemas de servicios","Energy efficiency assessment
Process energy optimization
Industrial energy management
Transition strategies
Continuous improvement programs
Utility system optimization","https://drive.google.com/file/d/1Z34ABZl3ortDuuPSDUZVwtwUZFJJzr-S/view?usp=drive_link","EFICIENCIA ENERGÉTICA, GESTIÓN DE LA ENERGÍA, OPTIMIZACIÓN DE PROCESOS / ENERGY EFFICIENCY, ENERGY MANAGEMENT, PROCESS OPTIMIZATION","ott@plapiqui.edu.ar"
"32",32,"Universidad Nacional Del Sur","Estudios Medioambientales","Environmental Studies","EVALUACIÓN E IMPLEMENTACIÓN DE MÉTODOS ANALÍTICOS","EVALUATION AND IMPLEMENTATION OF ANALYTICAL METHODS","PLAPIQUI posee las siguientes capacidades:
Evaluación e implementación de métodos analíticos estandarizados
para estudios medioambientales y aplicados a seguridad
ocupacional siguiendo normas nacionales e internacionales.
Desarrollo o implementación de metodologías analíticas ad hoc.
Estudios de monitoreo de calidad de aire dirigidos a contaminantes
específicos
Experiencia en el desarrollo e implementación de varias técnicas
analíticas: Espectrometría de absorción atómica, Espectrofotometría
infrarroja, Espectrofotometría UV-vis, cromatografía GC, HPLC,
entre otros","PLAPIQUI has the following capabilities:
Evaluation and implementation of analytical methods for
environmental protection and occupational safety following national
and international standards.
Development or implementation of ad hoc analytical methodologies.
Air quality monitoring studies aimed at specific pollutants.
Experience in development and implementation of several analytical
techniques: Atomic absorption spectrometry, Infrared
spectrophotometry, UV-vis spectrophotometry, GC chromatography,
HPLC, among others.","Monitoreo ambiental
Evaluación de la calidad del aire
Análisis de seguridad ocupacional
Identificación de contaminantes
Implementación de métodos normalizados
Desarrollo de métodos analíticos
Análisis de contaminantes traza
Estudios de emisiones industriales
Ensayos de cumplimiento normativo
Estudios de impacto ambiental
Evaluación de la exposición química
Análisis de contaminantes en agua y aire","Environmental monitoring
Air quality assessment
Occupational safety análisis
Pollutant identification
Standard method implementation
Analytical method development
Trace contaminant análisis
Industrial emission studies
Regulatory compliance testing
Environmental impact studies
Chemical exposure assessment
Water and air contaminant analysis
","https://drive.google.com/file/d/1AaX0jRB6U6OfhdX7-oEJ0g9yoU6JHn26/view?usp=drive_link","ANÁLISIS AMBIENTAL, DESARROLLO DE MÉTODOS ANALÍTICOS, MONITOREO DE LA CALIDAD DEL AIRE / ENVIRONMENTAL ANALYSIS, ANALYTICAL METHOD DEVELOPMENT, AIR QUALITY MONITORING","ott@plapiqui.edu.ar"
"33",33,"Universidad Nacional Del Sur","Modelado y Diseño de Procesos de Bioplásticos","Bioplastics Process Modeling","MODELO DE OPTIMIZACIÓN PARA LA PRODUCCIÓN DE BIOPOLÍMEROS","SUPERSTRUCTURE-BASED OPTIMIZATION MODEL FOR BIOPOLYMER PRODUCTION PROCESSES","PLAPIQUI tiene las siguientes capacidades:
Formulación de modelos dinámicos cinéticos de procesos de
fermentación basados en balances de masa.
Calibración de modelos a condiciones específicas de fermentación a
través de técnicas de estimación de parámetros dinámicas.
Diseño y optimización de procesos de producción de biopolímeros
incluyendo:
Balances de masa y energía
Diseño detallado de equipos
Correlaciones de costos de capital
Desarrollo de modelos adaptados a casos particulares
Evaluación técnico-económica de esquemas potenciales para la
producción de PHAs a partir de distinta materia prima: glicerol crudo
y purificado, almidón de maíz, glucosa, sucrosa de caña, etc.
Análisis de sensitividad frente a principales parámetros del proceso.","PLAPIQUI has the following capabilities:
Formulation of dynamic mechanistic models for fermentation process
based on mass balances.
Model calibration to specific fermentation conditions through dynamic
parameter estimation techniques.
Model validation against experimental data.
Design and optimization of biopolymer production process including:
- Mass and energy balances
- Detailed equipment design
- Cost correlations
Model development using customized software solutions.
Economic assessment of potential processing pathways for the
production of PHAs from different carbon sources as raw materials:
crude and purified glycerol, corn starch, cassava starch, glucose,
sugarcane sucrose, sugarcane molasses.
Parametric sensitivity analysis of key model parameters.","Modelado de procesos de biopolímeros
Modelado cinético de fermentación
Simulación dinámica de procesos
Estimación de parámetros
Optimización de superestructuras
Diseño de producción de PHA
Evaluación técnico-económica
Producción de polímeros a partir de biomasa
Estudios comparativos de materias primas
Balances de masa y energía
Estimación de costos de capital
Análisis de sensibilidad
Diseño de procesos de polímeros sostenibles
Evaluación de escalado (scale-up)","Biopolymer process modeling
Fermentation kinetic modeling
Dynamic process simulation
Parameter estimation
Superstructure optimization
PHA production design
Techno-economic evaluation
Biomass-based polymer production
Feedstock comparison studies
Mass and energy balances
Capital cost estimation
Sensitivity análisis
Sustainable polymer process design
Scale-up assessment","https://drive.google.com/file/d/14zvfeI0lozdhs2CYOg5_NPF3CoAjKxcN/view?usp=drive_link","MODELADO DE PROCESOS DE BIOPOLÍMEROS, OPTIMIZACIÓN DE SUPERESTRUCTURAS ANÁLISIS TÉCNICOECONÓMICO / BIOPOLYMER PROCESS MODELING, SUPERSTRUCTURE OPTIMIZATION, TECHNO-ECONOMIC ANALYSIS","ott@plapiqui.edu.ar"
