"","ID","HEI","Title-ES","Title-EN","Subtitle-ES","Subtitle-EN","Description-ES","Description-EN","Technical-ES","Technical-EN","Applications-ES","Applications-EN","Photo","Keywords","Contact"
"27",27,"Universidad De Santiago De Chile","Talleres de metodologías ágiles en la gestión de proyectos innovadores","Agile methodology workshops for innovation project management","Metodologías ágiles para gestionar proyectos innovadores de forma iterativa y centrada en el cliente","Agile approaches to manage innovation projects iteratively and customer-centrically","Talleres orientados a la aplicación práctica de metodologías ágiles en la gestión de proyectos innovadores, promoviendo adaptación, iteración y enfoque en valor","Workshops focused on the practical application of agile methodologies in innovation project management, promoting adaptability, iteration and value focus","Metodologías ágiles (Scrum, Lean StartUp); Gestión de proyectos; Trabajo colaborativo","Agile methodologies; Project management; Collaborative work","Proyectos de innovación; Equipos multidisciplinarios","Innovation projects; Multidisciplinary teams","https://drive.google.com/drive/folders/1egp739Hwos-dwBybTQwLWmQihuLdlEXE","Metodologías ágiles, gestión de proyectos, innovación / Agile methodologies, project management, innovation","lorena.delgado@usach.cl"
"28",28,"Universidad De Santiago De Chile","Análisis de Ciclo de Vida y Huella de Carbono","Life Cycle Assessment and Carbon Footprint Analysis","Evaluación ambiental integral de productos, procesos y sistemas productivos","Comprehensive environmental assessment of products, processes and production systems","Servicio orientado a evaluar los impactos ambientales de productos y sistemas productivos a lo largo de su ciclo de vida, así como la cuantificación de la huella de carbono. Permite identificar puntos críticos, oportunidades de mejora y estrategias de mitigación bajo un enfoque de sostenibilidad","Service focused on assessing the environmental impacts of products and production systems throughout their life cycle, including carbon footprint quantification. It enables the identification of critical points, improvement opportunities and mitigation strategies","Análisis de Ciclo de Vida (ACV); Cálculo de huella de carbono; Análisis de flujos de materiales y energía","Life Cycle Assessment (LCA); Carbon footprint calculation; Material and energy flow analysis","Evaluación ambiental de productos; Estrategias de reducción de emisiones; Apoyo a decisiones sostenibles","Environmental product assessment; Emission reduction strategies; Sustainable decision support","https://drive.google.com/drive/folders/1ryWj20ki8Ik7pVTLCOgYe9M-9OCZbs8b","ACV, huella de carbono, sostenibilidad, impacto ambiental / LCA, carbon footprint, sustainability, environmental impact","pdsps@usach.cl"
"29",29,"Universidad De Santiago De Chile","Optimización y simulación de sistemas productivos","Optimization and simulation of production systems","Modelación matemática para decisiones productivas eficientes y sostenibles","Mathematical modeling for efficient and sustainable production decisions","Servicio que aplica herramientas de optimización y simulación matemática para analizar, diseñar y mejorar sistemas productivos de bienes y servicios, integrando restricciones técnicas, económicas y ambientales

Descripción en Inglés: 
Service applying optimization and mathematical simulation tools to analyze, design and improve production systems for goods and services, integrating technical, economic and environmental constraints
","Service applying optimization and mathematical simulation tools to analyze, design and improve production systems for goods and services, integrating technical, economic and environmental constraints
","Modelos matemáticos de optimización; Simulación computacional; Análisis de escenarios
","Optimization models; Computational simulation; Scenario analysis","Diseño de sistemas productivos; Evaluación de escenarios operacionales; Optimización de recursos","Production system design; Operational scenario evaluation; Resource optimization","https://drive.google.com/drive/folders/1ryWj20ki8Ik7pVTLCOgYe9M-9OCZbs8b","Optimización, simulación, sistemas productivos, sostenibilidad / Optimization, simulation, production systems, sustainability","pdsps@usach.cl"
"30",30,"Universidad De Santiago De Chile","Estrategias productivas sostenibles","Sustainable production strategies","Diseño estratégico de sistemas productivos eficientes y responsables","Strategic design of efficient and responsible production systems","Servicio orientado al diseño de estrategias productivas y operacionales a nivel organizacional, integrando eficiencia, sostenibilidad y competitividad en el largo plazo","Service focused on designing production and operational strategies at the organizational level, integrating efficiency, sustainability and long-term competitiveness","Análisis estratégico; Evaluación de desempeño productivo; Enfoque sistémico","Strategic analysis; Production performance assessment; Systemic approach
","Planificación productiva; Transformación organizacional, Estrategias de sostenibilidad
","Production planning; Organizational transformation; Sustainability strategies
","https://drive.google.com/drive/folders/1ryWj20ki8Ik7pVTLCOgYe9M-9OCZbs8b","Estrategia productiva, eficiencia, sostenibilidad / Production strategy, efficiency, sustainability","pdsps@usach.cl"
"31",31,"Universidad De Santiago De Chile","Educación para sistemas productivos sostenibles","Education for sustainable production systems","Formación de capacidades para el trabajo sostenible","Capacity building for sustainable work environments","Servicio de diseño e implementación de planes educativos orientados a fortalecer competencias en sostenibilidad, sistemas productivos y gestión eficiente, con aplicación directa en contextos laborales","Service for designing and implementing educational plans aimed at strengthening skills in sustainability, production systems and efficient management, with direct application in work environments","Diseño de programas formativos; Talleres y capacitaciones; Metodologías participativas","Training program design; Workshops and training sessions; Participatory methodologies","Formación profesional; Capacitación organizacional; Desarrollo laboral sostenible","Professional training; Organizational capacity building; Sustainable workforce development","https://drive.google.com/drive/folders/1ryWj20ki8Ik7pVTLCOgYe9M-9OCZbs8b","Educación sostenible, capacitación, desarrollo laboral / Sustainable education, training, workforce development","pdsps@usach.cl"
"32",32,"Universidad De Santiago De Chile","Análisis de licitaciones sostenibles","Sustainable procurement and bidding analysis","Apoyo técnico en procesos de contratación con enfoque sostenible","Technical support for sustainable procurement processes","Servicio de análisis y apoyo en procesos de licitación y negociación, incorporando criterios técnicos, económicos y de sostenibilidad para el desarrollo de sistemas productivos responsables","Service providing analysis and support for bidding and negotiation processes, incorporating technical, economic and sustainability criteria","Análisis de bases de licitación; Evaluación técnica y económica; Apoyo en negociación","Tender document analysis; Technical and economic evaluation; Negotiation support","Licitaciones públicas y privadas; Proyectos productivos sostenibles","Public and private procurement; Sustainable production projects","https://drive.google.com/drive/folders/1ryWj20ki8Ik7pVTLCOgYe9M-9OCZbs8b","Licitaciones, negociación, sostenibilidad / Procurement, negotiation, sustainability","pdsps@usach.cl"
"33",33,"Universidad De Santiago De Chile","Priorización de acciones productivas sostenibles","Prioritization of sustainable production actions","Ordenamiento estratégico para maximizar impacto y eficiencia","Strategic prioritization to maximize impact and efficiency","Servicio orientado a jerarquizar acciones y medidas dentro de sistemas productivos, considerando impacto ambiental, factibilidad técnica y beneficios económicos","Service focused on prioritizing actions within production systems, considering environmental impact, technical feasibility and economic benefits","Análisis multicriterio; Evaluación costo–beneficio; Enfoque sistémico","Multicriteria analysis; Cost–benefit evaluation; Systemic approach","Planes de mejora productiva; Estrategias de sostenibilidad","Production improvement plans; Sustainability strategies","https://drive.google.com/drive/folders/1ryWj20ki8Ik7pVTLCOgYe9M-9OCZbs8b","Clave del Servicio: Priorización, eficiencia, sostenibilidad / Prioritization, efficiency, sustainability","pdsps@usach.cl"
"34",34,"Universidad De Santiago De Chile","Optimización operacional sostenible","Sustainable operational optimization","Mejora continua de procesos productivos","Continuous improvement of production processes","Servicio enfocado en la mejora operativa de procesos productivos existentes, integrando eficiencia, reducción de impactos y optimización de recursos","Service focused on operational improvement of existing production processes, integrating efficiency, impact reduction and resource optimization
","Análisis de procesos; Optimización operacional; Mejora continua","Process analysis; Operational optimization; Continuous improvement","Procesos industriales; Sistemas productivos existentes","Industrial processes; Existing production systems","https://drive.google.com/drive/folders/1ryWj20ki8Ik7pVTLCOgYe9M-9OCZbs8b","Optimización, procesos, sostenibilidad / Optimization, processes, sustainability","pdsps@usach.cl"
"35",35,"Universidad De Santiago De Chile","Proyectos científico-tecnológicos","Scientific and technological project development","Formulación y ejecución de proyectos de I+D aplicada","Formulation and execution of applied R\&D projects","Servicio de apoyo al diseño, formulación y desarrollo de proyectos científico-tecnológicos, orientados a la generación de conocimiento aplicado y soluciones sostenibles","Service supporting the design, formulation and development of scientific and technological projects aimed at generating applied knowledge and sustainable solutions","Formulación de proyectos; Gestión de I+D; Análisis técnico-científico","Project formulation; R\&D management; Technical and scientific analysis
","Proyectos académicos; Innovación tecnológica; Investigación aplicada","Academic projects; Technological innovation; Applied research
","https://drive.google.com/drive/folders/1ryWj20ki8Ik7pVTLCOgYe9M-9OCZbs8b","I+D, proyectos, innovación tecnológica / R\&D, projects, technological innovation","pdsps@usach.cl"
"36",36,"Universidad De Santiago De Chile","Asesoría en Aplicación de Plásticos Reciclados","Recycled Plastics Application Consulting","Evaluación técnica para el uso de productos con plástico reciclado en arquitectura y diseño","Technical assessment for the use of recycled plastic products in architecture and design","El Laboratorio de Exploración en Materiales Arquitectónicos Ambientales (LEMAA) ofrece un servicio de asesoría especializada sobre el uso potencial de productos fabricados con plástico reciclado, orientado a aplicaciones en arquitectura, construcción y diseño de productos. A partir del análisis de propiedades del material, condiciones de uso, requerimientos funcionales y criterios ambientales, se entrega orientación técnica para evaluar la viabilidad, desempeño, limitaciones y oportunidades de mejora de soluciones desarrolladas con plásticos reciclados, apoyando decisiones de diseño, especificación y desarrollo de productos con enfoque en sostenibilidad y economía circular.
","The Laboratory for Exploration in Environmental Architectural Materials (LEMAA) provides specialized consulting services on the potential use of products made from recycled plastics, focused on applications in architecture, construction, and product design. Through the assessment of material properties, use conditions, functional requirements, and environmental criteria, technical guidance is delivered to evaluate feasibility, performance, limitations, and improvement opportunities, supporting design decisions, material specification, and product development aligned with sustainability and circular economy principles.","Evaluación de propiedades mecánicas, térmicas y funcionales de materiales reciclados; Análisis de condiciones de uso en contextos arquitectónicos y constructivos; Revisión de diseño de productos y componentes arquitectónicos; Apoyo en selección de materiales reciclados según desempeño y aplicación; Análisis comparativo entre materiales reciclados y soluciones convencionales","Evaluation of mechanical, thermal, and functional properties of recycled materials; Analysis of use conditions in architectural and construction contexts; Product and architectural component design review; Support in recycled material selection based on performance and application; Comparative analysis between recycled materials and conventional solutions","Definición de aplicaciones arquitectónicas viables para plásticos reciclados; Apoyo a proyectos de diseño de productos y sistemas constructivos; Evaluación técnica de materiales para revestimientos y elementos funcionales; Soporte a estrategias de arquitectura sustentable y economía circular; Asistencia técnica en proyectos de I+D, innovación y transferencia tecnológica","Definition of feasible architectural applications for recycled plastics; Support for product and construction system design projects; Technical evaluation of materials for cladding and functional elements; Support for sustainable architecture and circular economy strategies; Technical assistance in R\&D, innovation, and technology transfer projects","https://drive.google.com/file/d/1XgJahcyShgGOTto80lb50rU9VqglsRSS/view?usp=drive_link","Plástico reciclado; Asesoría técnica; Arquitectura sustentable; Aplicaciones de materiales","lemaa@usach.cl"
"37",37,"Universidad Nacional Del Sur","Caracterización de Residuos Plásticos","Integral Characterization of Plastic Waste","ANÁLISIS COMPOSICIONAL DE RESIDUOS PLÁSTICOS","COMPOSITIONAL ANALYSIS OF PLASTIC WASTE","La composición de diversos residuos plásticos se analiza de manera
integral mediante un conjunto de técnicas analíticas
complementarias. Estas técnicas permiten determinar el tipo de
polímero base y la presencia y el tipo de aditivos y/o cargas
minerales. El análisis se realiza tanto sobre tipos específicos de
residuos plásticos como sobre corrientes mixtas de residuos
plásticos. En este último caso, se lleva a cabo un cuarteo detallado
de acuerdo con la corriente bajo estudio, con el fin de trabajar con
muestras realmente representativas. De esta manera, a partir de la
caracterización se determinan los distintos tipos de plásticos y la
proporción relativa de cada uno dentro de la corriente","Composition of various plastic wastes is integrally analyzed using a
set of complementary analytical techniques. These techniques allow
determining the type of base polymer material and the presence and
type of additives and/or mineral fillers. The analysis is performed on
both, specific types of plastic waste and mixed plastic waste
streams. In the last case, detailed quartering is carried out according
to the stream under study in order to work with actual representative
samples. In this way, different types of plastics and the relative
amount of each one within the stream are determined from the
characterization.","Calorimetría Diferencial de Barrido estándar (DSC) y modulada
(MDSC)
Análisis Termogravimétrico estándar (TGA), modulado (MTGA) y de
alta resolución (HiRes MTGA)
Espectroscopía infrarroja por transformada de Fourier (FTIR), microFTIR y reflectancia total atenuada (ATR)
Difracción de rayos X (XRD)
Espectrometría de fluorescencia de rayos X (XRF)
Microscopía óptica (OM)
Microscopía electrónica de barrido (SEM) con espectroscopía de
rayos X por dispersión de energía (EDS)
Microscopía electrónica de transmisión (TEM)
Espectrofotometría de absorción atómica (AA)","Standard Differential Scanning Calorimetry (DSC) and/or modulated
(MDSC)
Standard Thermogravimetric Analysis (TGA), modulated (MTGA),
and/or High Resolution (HiRes MTGA)
Fourier Transform Infrared Spectroscopy (FTIR), micro-FTIR, and
Attenuated Total Reflectance (ATR)
X-Ray Diffraction (XRD)
X-Ray Fluorescence Spectrometry (XRF)
Optical Microscopy (OM)
Scanning Electron Microscopy (SEM) with Energy Dispersive X-ray
Spectroscopy (EDS)
Transmission Electron Microscopy (TEM)
Atomic Absorption Spectrophotometry (AA)","Residuos Sólidos Municipales (RSU)
Residuos de Aparatos Eléctricos y Electrónicos (RAEE)
Envases y embalajes flexibles y rígidos postconsumo
Plásticos agrícolas
Contenedores y envases","Municipal Solid Waste (MSW)
Waste from Electrical and Electronic Equipment (WEEE)
Post-consumer flexible and rigid packaging
Agro-plastics
Containers and Packaging","https://drive.google.com/drive/folders/1TnHSxPEX_I6LgMuG0PVw54O3D5zvq7O7?usp=drive_link","RESIDUOS PLÁSTICOS, ANÁLISIS COMPOSICIONAL, PACKAGING POSTCONSUMO; PLASTIC WASTE, COMPOSITIONAL ANALYSIS, POSTCONSUMER PACKAGING","ott@plapiqui.edu.ar"
"38",38,"Universidad Nacional Del Sur","Envejecimiento Acelerado","Weathering","ENSAYOS DE ENVEJECIMIENTO ACELERADO","ACCELERATED WEATHERING TESTS UNDER SPECIFIC UV LIGHT, HUMIDITY AND HEAT CONDITIONS","La cámara de envejecimiento acelerado QUV permite simular las
condiciones medioambientales capaces de causar daños
irreversibles en los materiales luego de varios años de exposición.","The QUV accelerated weathering chamber can simulate the outdoor
conditions that cause irreversible damages on many materials along
years of exposure.","Cámara de envejecimiento acelerado modelo QUV/spray con control
de irradiación solar.
","QUV Accelerated Weathering Tester. Model QUV/spray with solar
eye irradiance control
","Películas y productos plásticos
Recubrimientos
Adhesivos
Pinturas
Textiles
Papel y varios tipos de materiales más","Plastic films and products
Coatings
Adhesives
Paints
Textiles
Papers and many other materials","https://drive.google.com/drive/folders/1TnHSxPEX_I6LgMuG0PVw54O3D5zvq7O7?usp=drive_link","ENVEJECIMIENTO ACELERADO, SIMULACIÓN DE CONDICIONES MEDIOAMBIENTALES, EXPOSICIÓN RADIACIÓN UV; ACCELERATED WEATHERING, OUTDOOR CONDITIONS SIMULATION, UV LIGHT EXPOSURE","ott@plapiqui.edu.ar"
"39",39,"Universidad Nacional Del Sur","Tribología","Tribology","DESGASTE Y FRICCIÓN DE MATERIALES POLIMÉRICOS","WEAR AND FRICTION OF POLYMERIC MATERIALS","Los procesos de desgaste y fricción pueden analizarse mediante
diferentes técnicas. Algunas de ellos tienen procedimientos estándar
y otras utilizan dispositivos fabricados específicamente para tratar de
reproducir las condiciones reales de la aplicación.","The processes of wear and friction can be analyzed by different
techniques. Some of them have standard procedures and others use
devices made specifically to try to reproduce particular application´s
conditions.
","Máquina universal de ensayos para la determinación del Coeficiente
de Fricción Estático y Dinámico (COF).
Con acceso a:
Tribómetro Block-on-ring.
Tribómetro Pin-on-disc.
Equipo para abrasión con barros.
","Universal Testing machine for dynamic and static Coefficient of
Friction (COF)
Access to block-on-ring tribometer, pin-on-disc tribometer, slurry
abrasion tester","Polímeros
Elastómeros
Nanocompuestos
Comparación del desempeño de materiales bajo desgaste y fricción","Polymers
Elastomers
Polymer nanocomposites
Performance comparison under wear and friction","https://drive.google.com/drive/folders/1TnHSxPEX_I6LgMuG0PVw54O3D5zvq7O7?usp=drive_link","DESGASTE, FRICCIÓN, TRIBOLOGÍA; WEAR, FRICTION, TRIBOLOGY","ott@plapiqui.edu.ar"
"40",40,"Universidad Nacional Del Sur","Análisis Termogravimétrico","Thermogravimetric analysis","CAMBIO DE MASA DE UNA SUSTANCIA EN FUNCIÓN DE LA TEMPERATURA Y EL TIEMPO","AMOUNT AND RATE OF MASS CHANGE AS A FUNCTION OF TEMPERATURE OR TIME","Las mediciones se utilizan principalmente para determinar la
composición de los materiales y para predecir su estabilidad térmica
a temperaturas de hasta 1200°C. La técnica puede caracterizar
materiales que exhiben pérdida o ganancia de peso debido a
descomposición, oxidación o deshidratación.","Measurements are used primarily to determine the composition of
materials and to predict their thermal stability at temperatures up to
1200°C. The technique can characterize materials that exhibit weight
loss or gain due to decomposition, oxidation, or dehydration.
","Balanza termogravimétrica estándar (TGA), modulada (MTGA) y de
alta resolución (HiRes MTGA)","Standard Thermogravimetric Analysis (TGA), modulated (MTGA),
and/or High Resolution (HiRes MTGA)","Estabilidad térmica
Análisis composicional
Estabilidad oxidativa
Cuantificación de volátiles/humedad
Evaluación de aditivos
Residuos, cenizas y contenido de cargas","Thermal stability
Compositional analysis
Oxidative stability
Quantification of volatiles/moisture
Screening of additives
Residue and filler content","https://drive.google.com/drive/folders/1TnHSxPEX_I6LgMuG0PVw54O3D5zvq7O7?usp=drive_link","ESTABILIDAD TÉRMICA, TERMOGRAVIMETRÍA, ANÁLISIS COMPOSICIONAL; THERMAL STABILITY, THERMOGRAVIMETRY, COMPOSITIONAL ANALYSIS","ott@plapiqui.edu.ar"
"41",41,"Universidad Nacional Del Sur","Reología","Rheology","CARACTERIZACIÓN REOLÓGICA DE MATERIALES POLIMÉRICOS","RHEOLOGICAL CHARACTERIZATION OF POLYMERIC MATERIALS","Estudio del flujo y la deformación de materiales poliméricos bajo
diferentes condiciones de régimen de corte, deformación, tiempo y
temperatura.","Study of flow and deformation of polymeric materials under different
conditions of shear, force, time and temperature.","Reómetro Rotacional Dinámico","Dynamic rheometers","Estudio del efecto de la temperatura, tiempo y velocidad de corte
sobre las propiedades viscoelásticas
Predicción del comportamiento durante el flujo de materiales
poliméricos bajo condiciones de procesamiento o uso final","Viscoelasticity changes as a function of temperature, time and shear
rate
Prediction of flow behavior of materials in processing and end-use
conditions
","https://drive.google.com/drive/folders/1TnHSxPEX_I6LgMuG0PVw54O3D5zvq7O7?usp=drive_link","REOLOGÍA, ESTUDIO DEL FLUJO, VISCOELASTICIDAD; RHEOLOGY, FLOW BEHAVIOR, VISCOELASTICITY","ott@plapiqui.edu.ar"
"42",42,"Universidad Nacional Del Sur","Control de Calidad de Polímeros","Polymer Quality Control","CONTROL DE CALIDAD DE MATERIAS PRIMAS Y PRODUCTOS PLÁSTICOS TERMINADOS","QUALITY CONTROL OF POLYMER RAW MATERIALS AND FINISHED PLASTIC PRODUCTS","Desarrollo e implementación de métodos de control de calidad para
termoplásticos, mezclas, materiales compuestos y nanocompuestos.","Development and implementation of quality control methods for
thermoplastics, blends, composite and nanocomposite materials.","Máquina Universal de Ensayos Mecánicos
Reómetros Rotacionales Dinámicos
Microscopio Óptico con Platina Calefactora
Microscopio Electrónico de Barrido con Sonda para Microanálisis
Elemental (SEM / EDX)
Microscopio Óptico de Transmisión (TEM)
Difracción (DRX) y Fluorescencia de Rayos X (FRX)
Espectroscopio Infrarrojo con Transformada de Fourier (FTIR, microFTIR) y Reflectancia Total Atenuada (ATR)
Microscopio de Fuerza Atómica (AFM)
Calorímetro Diferencial de Barrido (DSC)
Analizador Termogravimétrico (TGA)
Cromatógrafos
","Universal testing machine
Rheometers
Optical microscope with hot stage
Scanning electron microscope with elemental microanalysis (SEM /
EDX)
Transmission electron microscope (TEM)
Infrared spectroscope with Fourier transform (FTIR, micro-FTIR) and
attenuated total reflectance (ATR)
Atomic force microscope (AFM)
Differential scanning calorimeter (DSC)
Thermogravimetric analyzer (TGA)
Gel permeation chromatograph","Materias primas poliméricas
Productos plásticos terminados","Polymer raw materials
Finished plastic products","https://drive.google.com/drive/folders/1TnHSxPEX_I6LgMuG0PVw54O3D5zvq7O7?usp=drive_link","CONTROL DE CALIDAD, MATERIAS PRIMAS, PRODUCTOS PLÁSTICOS TERMINADOS; QUALITY CONTROL, POLYMER RAW MATERIALS, FINISHED PLASTIC PRODUCTS","ott@plapiqui.edu.ar"
"43",43,"Universidad Nacional Del Sur","Procesamiento de Polímeros","Polymer Processing","PROCESAMIENTO DE POLÍMEROS A ESCALA LABORATORIO Y PILOTO","EVALUATION OF POLYMER PROCESSING BEHAVIOR UNDER LAB AND PILOT PLANT SCALE","Estudios del comportamiento durante el procesamiento de
materiales poliméricos. Determinación de la ventana de
procesamiento de mezclas, compuestos y nanocompuestos.
Optimización del proceso de transformación y evaluación del
rendimiento. Comparación de formulaciones.
Evaluación de auxiliares de proceso, estudios de degradación y
extrusión reactiva.","Study of processing behavior of polymeric materials.
Processing windows of mixtures, composites and nanocomposites.
Optimization of the process of transformation, development and
performance. Comparison of formulations.
Evaluation of process aids, degradation studies, and reactive
extrusion.","Extrusores de tornillo simple (L/D= 30) y doble contrarrotante (L/D=
35)
Sopladora a escala piloto para película de polipropileno
Máquina para moldeo por inyección (60 tons)
Mezcladoras a escala mini y de laboratorio
","Single (L/D= 30) and counterrotating twin screw (L/D= 35) extruders
Polypropylene blow molding machine
Injection molding machine (60 tons)
Laboratory mixer and minimixer","Evaluación del procesamiento de nuevos grados de polímeros y
aditivos
Control de calidad de materias primas
Solución de problemas de procesamiento","Processing evaluation of new polymer grades and additives
Quality control of raw materials
Solution of processing problems","https://drive.google.com/drive/folders/1TnHSxPEX_I6LgMuG0PVw54O3D5zvq7O7?usp=drive_link","PROCESAMIENTO, MATERIALES POLIMÉRICOS, VENTANA DE PROCESAMIENTO; CHROMATOGRAPHY, MOLECULAR WEIGHT, MOLECULAR WEIGHT DISTRIBUTION","ott@plapiqui.edu.ar"
"44",44,"Universidad Nacional Del Sur","Análisis de la Interacción Envase/Alimento","Package/Food Interaction Analysis","ANÁLISIS DE MIGRACIONES Y DE LA CONFORMIDAD DE ENVASES PARA ALIMENTOS","MIGRATION AND COMPLIANCE TESTS OF FOOD PACKAGING","La inocuidad de los materiales de envase es de suma importancia
para garantizar la seguridad alimentaria, debido a la capacidad que
tienen algunas sustancias de migrar desde el embalaje hasta su
contenido. La interacción envase/alimento puede evaluarse
combinando técnicas analíticas de alto nivel, bajo las regulaciones
de la Unión Europea y del Mercosur.","Safety of packaging materials is of paramount importance in order to
guarantee food safety, due to the capacity of some substances to
migrate from packaging to its content. The package/food interaction
may be assessed combining high level analytical techniques under
European and Mercosur regulations.
","Celdas para la evaluación de la migración global y específica desde
superficies del envase bajo diferentes condiciones de temperatura,
tiempo y simulantes alimentarios
Cromatógrafo de Gases Acoplado con Espectrómetro de Masa (GC /
MS)
Cromatógrafo Líquido de Alta Performance (HPLC)
Espectrómetro de Emisión Atómica por Plasma de Acoplamiento
Inductivo (ICP-OES) y Emisión Atómica (ICP-AES)
Espectroscopio de Absorción Atómica (AAS)
","Migration cells for global and specific migration from one surface
under different conditions of temperature, time and food simulants
Gas Chromatograph Coupled with Mass Spectrometer (GC/MS)
High Performance Liquid Chromatography (HPLC)
Inductively Coupled Plasma Optical Emission (ICP-OES) and Atomic
Emission (ICP-AES) Spectroscopes
Atomic Absorption Spectroscope (AAS)","Evaluación de la conformidad de materiales de envases para
alimentos con regulaciones nacionales e internacionales
","Compliance evaluation of food and drug packaging materials
regulations","https://drive.google.com/drive/folders/1TnHSxPEX_I6LgMuG0PVw54O3D5zvq7O7?usp=drive_link","MIGRACIÓN, ENVASES, INTERACCIÓN ENVASE/ALIMENTO; MIGRATION, PACKAGING MATERIALS, PACKAGE/FOOD INTERACTION","ott@plapiqui.edu.ar"
"45",45,"Universidad Nacional Del Sur","Análisis Molecular","Molecular Analysis","PESOS MOLECULARES Y DISTRIBUCIÓN DE PM DE POLÍMEROS","MOLECULAR WEIGHTS AND MW DISTRIBUTION OF POLYMERS","La Cromatografía de Permeación de Geles (GPC), GPC de Alta
Temperatura (HT-GPC) y la Osmometría, son diferentes técnicas
analíticas para la caracterización molecular de una amplia variedad
de materiales poliméricos.","Gel Permeation Chromatography (GPC), High Temperature Gel
Permeation Chromatography (HT-GPC) and Osmometry are
different analytical techniques for the characterization of a wide
variety of polymers or other macromolecules in a mixture.","Cromatógrafo con detector de índice de refracción, UV / visible
Cromatógrafo de alta temperatura
Osmómetro","Chromatograph (HPLC Pump, Refractive Index Detector, UV/visible)
Chromatograph (HT-GPC)
Osmometer","Determinación de pesos moleculares promedios y distribución de
pesos moleculares
Análisis de la pureza de una muestra
Control y garantía de calidad de polímeros","Molecular weight and molecular weight distribution of
macromolecules
Sample purity determination
Quality assurance and control
","https://drive.google.com/drive/folders/1TnHSxPEX_I6LgMuG0PVw54O3D5zvq7O7?usp=drive_link","CROMATOGRAFÍA, PESO MOLECULAR, DISTRIBUCIÓN DE PESOS MOLECULARES; CHROMATOGRAPHY, MOLECULAR WEIGHT, MOLECULAR WEIGHT DISTRIBUTION","ott@plapiqui.edu.ar"
"46",46,"Universidad Nacional Del Sur","Microscopía","Microscopy","ANÁLISIS MORFOLÓGICO Y ESTRUCTURAL DE MATERIALES","STRUCTURAL AND MORPHOLOGICAL ANALYSIS OF MATERIALS","La Microscopía Óptica, Electrónica (SEM, TEM) y de Fuerza
Atómica (AFM) pueden emplearse para estudiar la microestructura,
morfología, tamaños de partículas y presencia de defectos en los
materiales a escala micrométrica y nanométrica.","Optical, electron (SEM, TEM) and atomic force microscopy (AFM)
can be used to study the microstructure, morphology, particle size,
and defects of materials in micrometric and nanometric scale.
","Microscopio Óptico con modo reflexión, transmisión y polarización,
con platina calefactora
Microscopio Electrónico de Barrido acoplado con detector para
Microanálisis Dispersivo de R-x
Microscopio Electrónico de Transmisión
Microscopio de Fuerza Atómica
","Optical Microscope, reflection, transmission and polarized light
modes with a hot stage
Scanning Electron Microscope coupled to an auxiliary Energy
Dispersive X-ray Spectroscopy detector
Transmission Electron Microscope
Atomic Force Microscope","Nanopartículas
Películas poliméricas delgadas y laminados multicapas
Recubrimientos
Compuestos y nanocompuestos
Huecos, grietas y defectos
Estructura cristalina
","Nanoparticles
Thin polymeric films and multilayer laminates
Coatings
Composites and nanocomposites
Voids, cracks and defects
Crystalline structure","https://drive.google.com/drive/folders/1TnHSxPEX_I6LgMuG0PVw54O3D5zvq7O7?usp=drive_link","ANÁLISIS MICROSCÓPICO, MORFOLOGÍA, MICROESTRUCTURA; MICROSCOPIC ANALYSIS, MORPHOLOGY, MICROSTRUCTURE","ott@plapiqui.edu.ar"
"47",47,"Universidad Nacional Del Sur","Comportamiento Mecánico","Mechanical Performance","EVALUACIÓN DEL COMPORTAMIENTO MECÁNICO DE MATERIALES POLIMÉRICOS","MECHANICAL EVALUATION OF POLYMERIC MATERIALS","La evaluación de las propiedades mecánicas de un material, permite
conocer su capacidad para desarrollar deformaciones reversibles o
irreversibles y para resistir la falla cuando se aplican fuerzas a una
velocidad específica de deformación y a una dada temperatura.","The assessment of mechanical properties allows to determine the
capacity of materials to develop reversible or irreversible
deformations and to resist failure when a force is applied at a specific
rate of deformation and a given temperature.","Máquina Universal de Ensayos. Rango de temperatura: -70 a 200°C;
Capacidad de carga máxima: 50 kN; Velocidad máxima: 500
mm/min; Recorrido vertical: 1193 mm
Medición de propiedades bajo tracción, compresión y flexión
Determinación del Coeficiente de Fricción
Pruebas de adherencia y fuerza de sellado
Pruebas de desgarro
Peeling de materiales","Universal testing machine. Temperature test range: -70 to 200 °C;
Load Capacity: 50 kN; Maximum speed: 500 mm/min; Vertical test
space:1193 mm
Measurement of tensile, compression and flexural properties
Determination of friction coefficient
Adhesion tests
Tearing tests
Peeling tests","Polímeros
Nanocompuestos de polímero
Películas multicapas y laminados
Polímeros reciclados
Todo tipo de materiales y piezas","Polymers
Polymer nanocomposites
Films, multi-layer films and laminates
Recycled polymers","https://drive.google.com/drive/folders/1TnHSxPEX_I6LgMuG0PVw54O3D5zvq7O7?usp=drive_link","COMPORTAMIENTO MECÁNICO, MATERIALES POLIMÉRICOS, PROPIEDADES MECÁNICAS; MECHANICAL BEHAVIOR, POLYMER MATERIALS, MECHANICAL PROPERTIES","ott@plapiqui.edu.ar"
